file:5106:1786519702392529158:/home/ubuntu/downloads/q3_2026_financial_report.pdf,{'file': '/home/ubuntu/Downloads/Q3_2026_Financial_Report.pdf'},19309614
file:5106:1786519702392529158:/tmp/mozilla_ubuntu0/q3_2026_financial_report.pdf,{'file': '/tmp/mozilla_ubuntu0/Q3_2026_Financial_Report.pdf'},19229513
file:5614:1786519957250207180:/tmp/.crond,{'file': '/tmp/.crond'},19231331
file:5614:1786519957525949396:/tmp/.privesc.sh,{'file': '/tmp/.privesc.sh'},19238338
file:6254:1786520205090626100:/tmp/.helper,{'file': '/tmp/.helper'},19254106
file:6261:1786520205139022156:/tmp/.privesc_result,{'file': '/tmp/.privesc_result'},19254461
file:7461:1786520540068365372:/usr/local/sbin/crond,{'file': '/usr/local/sbin/crond'},19305509
file:7523:1786520576644774069:/var/spool/cron/crontabs/tmp.nqk2nu,{'file': '/var/spool/cron/crontabs/tmp.NQk2nu'},19306312
file:7552:1786520775458032477:/tmp/.loot/shadow.bak,{'file': '/tmp/.loot/shadow.bak'},19307371
file:7559:1786520812576792408:/tmp/.loot/key4.db,{'file': '/tmp/.loot/key4.db'},19307458
file:7560:1786520812579041609:/tmp/.loot/logins.json,{'file': '/tmp/.loot/logins.json'},19307496
file:7599:1786520849636509269:/tmp/.loot/id_rsa.bak,{'file': '/tmp/.loot/id_rsa.bak'},19309577
file:7651:1786520887911546245:/newroot/tmp/q3_2026_financial_report.pdf,{'file': '/newroot/tmp/Q3_2026_Financial_Report.pdf'},19311183
file:7652:1786520887913807694:/tmp/q3_2026_financial_report.pdf,{'file': '/tmp/Q3_2026_Financial_Report.pdf'},19311331
netflow:10095:1786523181501467090:tcp:10.30.30.43:37170:10.40.40.10:443,{'netflow': '10.30.30.43:37170 -> 10.40.40.10:443'},19401341
netflow:10095:1786523181501467090:tcp:10.30.30.43:37172:10.40.40.10:443,{'netflow': '10.30.30.43:37172 -> 10.40.40.10:443'},19401346
netflow:10424:1786523377086242443:tcp:10.30.30.43:37174:10.40.40.10:443,{'netflow': '10.30.30.43:37174 -> 10.40.40.10:443'},19409827
netflow:10424:1786523377086242443:tcp:10.30.30.43:37176:10.40.40.10:443,{'netflow': '10.30.30.43:37176 -> 10.40.40.10:443'},19409836
netflow:10847:1786523752144196192:tcp:10.30.30.43:37178:10.40.40.10:443,{'netflow': '10.30.30.43:37178 -> 10.40.40.10:443'},19423937
netflow:10847:1786523752144196192:tcp:10.30.30.43:37180:10.40.40.10:443,{'netflow': '10.30.30.43:37180 -> 10.40.40.10:443'},19425240
netflow:10847:1786523752144196192:tcp:10.30.30.43:37182:10.40.40.10:443,{'netflow': '10.30.30.43:37182 -> 10.40.40.10:443'},19426561
netflow:10847:1786523752144196192:tcp:10.30.30.43:37184:10.40.40.10:443,{'netflow': '10.30.30.43:37184 -> 10.40.40.10:443'},19427844
netflow:10847:1786523752144196192:tcp:10.30.30.43:37186:10.40.40.10:443,{'netflow': '10.30.30.43:37186 -> 10.40.40.10:443'},19429204
netflow:12691:1786525830109067866:tcp:10.30.30.43:37190:10.40.40.10:443,{'netflow': '10.30.30.43:37190 -> 10.40.40.10:443'},19482092
netflow:12691:1786525830109067866:tcp:10.30.30.43:37194:10.40.40.10:443,{'netflow': '10.30.30.43:37194 -> 10.40.40.10:443'},19482754
netflow:12691:1786525830109067866:tcp:10.30.30.43:37196:10.40.40.10:443,{'netflow': '10.30.30.43:37196 -> 10.40.40.10:443'},19505913
netflow:14684:1786527293242033668:tcp:10.30.30.43:37198:10.40.40.10:443,{'netflow': '10.30.30.43:37198 -> 10.40.40.10:443'},19605646
netflow:14684:1786527293242033668:tcp:10.30.30.43:37200:10.40.40.10:443,{'netflow': '10.30.30.43:37200 -> 10.40.40.10:443'},19607076
netflow:17464:1786529450594812552:tcp:10.30.30.43:37204:10.40.40.10:443,{'netflow': '10.30.30.43:37204 -> 10.40.40.10:443'},19682621
netflow:17464:1786529450594812552:tcp:10.30.30.43:37206:10.40.40.10:443,{'netflow': '10.30.30.43:37206 -> 10.40.40.10:443'},19683381
netflow:17464:1786529450594812552:tcp:10.30.30.43:37208:10.40.40.10:443,{'netflow': '10.30.30.43:37208 -> 10.40.40.10:443'},19684806
netflow:17464:1786529450594812552:tcp:10.30.30.43:37212:10.40.40.10:443,{'netflow': '10.30.30.43:37212 -> 10.40.40.10:443'},19686183
netflow:17464:1786529450594812552:tcp:10.30.30.43:37214:10.40.40.10:443,{'netflow': '10.30.30.43:37214 -> 10.40.40.10:443'},19708366
netflow:17464:1786529450594812552:tcp:10.30.30.43:37216:10.40.40.10:443,{'netflow': '10.30.30.43:37216 -> 10.40.40.10:443'},19738975
netflow:17464:1786529450594812552:tcp:10.30.30.43:37218:10.40.40.10:443,{'netflow': '10.30.30.43:37218 -> 10.40.40.10:443'},19764381
netflow:17464:1786529450594812552:tcp:10.30.30.43:37220:10.40.40.10:443,{'netflow': '10.30.30.43:37220 -> 10.40.40.10:443'},19765680
